20.4	21.8	20	0.97
20.4	21.8	20	0.91
20.4	21.8	20	1
20.4	21.8	40	0.87
20.4	21.8	40	0.91
20.4	21.8	40	1
20.4	21.8	60	1.04
20.4	21.8	60	0.91
20.4	21.8	60	0.91
20.4	21.8	80	1
20.4	21.8	80	1.01
20.4	21.8	80	1.04
29.1	21.8	20	1.01
29.1	21.8	20	1.05
29.1	21.8	20	1.05
29.1	21.8	40	1.08
29.1	21.8	40	1.14
29.1	21.8	40	1
29.1	21.8	60	1.1
29.1	21.8	60	1.14
29.1	21.8	60	1.11
29.1	21.8	80	1.25
29.1	21.8	80	1.2
29.1	21.8	80	1.27
39.6	21.8	20	1.2
39.6	21.8	20	1.19
39.6	21.8	20	1.28
39.6	21.8	40	1.28
39.6	21.8	40	1.28
39.6	21.8	40	1.24
39.6	21.8	60	1.3
39.6	21.8	60	1.35
39.6	21.8	60	1.27
39.6	21.8	80	1.4
39.6	21.8	80	1.45
39.6	21.8	80	1.4
49.3	21.8	20	1.27
49.3	21.8	20	1.25
49.3	21.8	20	1.31
49.3	21.8	40	1.31
49.3	21.8	40	1.3
49.3	21.8	40	1.3
49.3	21.8	60	1.48
49.3	21.8	60	1.47
49.3	21.8	60	1.51
49.3	21.8	80	1.5
49.3	21.8	80	1.5
49.3	21.8	80	1.51
59.8	21.8	20	1.5
59.8	21.8	20	1.48
59.8	21.8	20	1.55
59.8	21.8	40	1.5
59.8	21.8	40	1.55
59.8	21.8	40	1.58
59.8	21.8	60	1.74
59.8	21.8	60	1.71
59.8	21.8	60	1.75
59.8	21.8	80	1.85
59.8	21.8	80	1.78
59.8	21.8	80	1.78
70	21.8	20	1.65
70	21.8	20	1.68
70	21.8	20	1.74
70	21.8	40	1.73
70	21.8	40	1.75
70	21.8	40	1.75
70	21.8	60	1.91
70	21.8	60	1.91
70	21.8	60	1.94
70	21.8	80	2.01
70	21.8	80	2.04
70	21.8	80	2.05
80.6	21.8	20	1.74
80.6	21.8	20	1.81
80.6	21.8	20	1.75
80.6	21.8	40	1.9
80.6	21.8	40	1.95
80.6	21.8	40	1.97
80.6	21.8	60	2.07
80.6	21.8	60	1.98
80.6	21.8	60	1.98
80.6	21.8	80	2.11
80.6	21.8	80	2.11
80.6	21.8	80	2.18
